device_id,device_serial,model,timestamp,error_code,error_description,mileage,toner_level,drum_level,fault_history
MFP-00077,9c934e5715bc,Xerox WorkCentre 5845,2026-01-08 06:00:12,07-535-00,07-535-00 Tray 5 (Bypass) is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.,468966,5,37,319
MFP-00077,9c934e5715bc,Xerox WorkCentre 5845,2026-01-08 06:00:12,17-562-00,17-562-00 Machine is unable to contact the remote Xerox SMart eSolutions Communication Server. User intervention is required to review SMart eSolutions settings. Device services are unaffected.,468966,5,37,319
MFP-00077,9c934e5715bc,Xerox WorkCentre 5845,2026-01-08 07:00:12,07-535-00,07-535-00 Tray 5 (Bypass) is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.,468966,5,37,319
MFP-00150,9c934e68aee0,Xerox WorkCentre 5945,2026-01-08 06:00:16,72-535-00,72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.,481912,5,14,430
MFP-00150,9c934e68aee0,Xerox WorkCentre 5945,2026-01-08 06:00:16,75-530-00,75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.,481912,5,14,430
MFP-00150,9c934e68aee0,Xerox WorkCentre 5945,2026-01-08 07:00:14,72-535-00,72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.,481912,5,14,430
MFP-00150,9c934e68aee0,Xerox WorkCentre 5945,2026-01-08 07:00:14,75-530-00,75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.,481912,5,14,430
MFP-00150,9c934e68aee0,Xerox WorkCentre 5945,2026-01-08 08:00:14,72-535-00,72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.,481912,5,14,430
MFP-00379,9c934e66d8ed,Xerox WorkCentre 7830,2026-01-08 06:00:25,07-533-00,07-533-00 Tray 3 is empty. User intervention is required to add paper to Tray 3. Print and Copy services can continue if the correct paper is available in other trays.,66362,5,10,594
MFP-00379,9c934e66d8ed,Xerox WorkCentre 7830,2026-01-08 06:00:25,07-535-00,07-535-00 Tray 5 (Bypass) is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.,66362,5,10,594
MFP-00379,9c934e66d8ed,Xerox WorkCentre 7830,2026-01-08 06:00:25,09-508-00,09-508-00 The Toner Waste Container is near end of life. User intervention is required to reorder the Toner Waste Container; do not replace until prompted. Device services are unaffected.,66362,5,10,594
MFP-00379,9c934e66d8ed,Xerox WorkCentre 7830,2026-01-08 06:00:25,19-506-00,19-506-00 Immediate Image Overwrite error. Administrator intervention is required to perform an On Demand Image Overwrite immediately. Print service can continue; other machine services are unaffected,66362,5,10,594
MFP-00379,9c934e66d8ed,Xerox WorkCentre 7830,2026-01-08 07:00:17,07-533-00,07-533-00 Tray 3 is empty. User intervention is required to add paper to Tray 3. Print and Copy services can continue if the correct paper is available in other trays.,66362,5,10,594
MFP-00379,9c934e66d8ed,Xerox WorkCentre 7830,2026-01-08 07:00:17,07-535-00,07-535-00 Tray 5 (Bypass) is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.,66362,5,10,594
MFP-00379,9c934e66d8ed,Xerox WorkCentre 7830,2026-01-08 07:00:17,09-508-00,09-508-00 The Toner Waste Container is near end of life. User intervention is required to reorder the Toner Waste Container; do not replace until prompted. Device services are unaffected.,66362,5,10,594
MFP-00250,9c934e85426a,Xerox Phaser 6700DN,2026-01-08 06:00:18,09-604-00,09-604-00 The Yellow Toner Cartridge is nearly empty. User intervention is required to reorder the Yellow Toner Cartridge; do not replace until prompted. Print service is unaffected.,253191,5,40,300
MFP-00250,9c934e85426a,Xerox Phaser 6700DN,2026-01-08 06:00:18,09-605-00,09-605-00 The Black Toner Cartridge is nearly empty. User intervention is required to reorder the Black Toner Cartridge; do not replace until prompted. Print service is unaffected.,253191,5,40,300
